Temperature: 1000, Area: 30173, Wire Length: 62710, bestCost: 4506.6
Temperature: 945, Area: 33292, Wire Length: 42366, bestCost: 3722.8
Temperature: 897.75, Area: 34569, Wire Length: 42940, bestCost: 3705.28
Temperature: 852.863, Area: 36573, Wire Length: 40990, bestCost: 3705.28
Temperature: 810.219, Area: 37740, Wire Length: 41718, bestCost: 3684.36
Temperature: 769.708, Area: 39728, Wire Length: 41244, bestCost: 3684.36
Temperature: 731.223, Area: 39668, Wire Length: 41320, bestCost: 3684.36
Temperature: 694.662, Area: 41255, Wire Length: 39972, bestCost: 3684.36
Temperature: 659.929, Area: 44655, Wire Length: 40336, bestCost: 3684.36
Temperature: 626.932, Area: 46215, Wire Length: 41154, bestCost: 3684.36
Temperature: 595.586, Area: 47163, Wire Length: 42430, bestCost: 3684.36
Temperature: 565.806, Area: 50718, Wire Length: 42144, bestCost: 3684.36
Temperature: 537.516, Area: 50718, Wire Length: 42162, bestCost: 3684.36
Temperature: 510.64, Area: 48792, Wire Length: 43344, bestCost: 3684.36
Temperature: 485.108, Area: 48364, Wire Length: 43944, bestCost: 3684.36
Temperature: 460.853, Area: 48364, Wire Length: 42886, bestCost: 3684.36
Temperature: 437.81, Area: 48792, Wire Length: 44384, bestCost: 3684.36
Temperature: 415.92, Area: 48792, Wire Length: 44324, bestCost: 3684.36
Temperature: 395.124, Area: 45828, Wire Length: 44002, bestCost: 3684.36
Temperature: 375.368, Area: 45828, Wire Length: 44792, bestCost: 3684.36
Temperature: 356.599, Area: 45828, Wire Length: 44648, bestCost: 3684.36
Temperature: 338.769, Area: 45828, Wire Length: 44322, bestCost: 3684.36
Temperature: 321.831, Area: 45828, Wire Length: 44204, bestCost: 3684.36
Temperature: 305.739, Area: 46833, Wire Length: 44108, bestCost: 3684.36
Temperature: 290.452, Area: 46632, Wire Length: 43622, bestCost: 3684.36
Temperature: 275.93, Area: 49416, Wire Length: 43770, bestCost: 3684.36
Temperature: 262.133, Area: 50112, Wire Length: 43288, bestCost: 3684.36
Temperature: 249.026, Area: 50112, Wire Length: 43480, bestCost: 3684.36
Temperature: 236.575, Area: 50112, Wire Length: 43480, bestCost: 3684.36
Temperature: 224.746, Area: 50112, Wire Length: 43792, bestCost: 3684.36
Temperature: 213.509, Area: 50112, Wire Length: 43792, bestCost: 3684.36
Temperature: 202.834, Area: 50112, Wire Length: 43792, bestCost: 3684.36
Temperature: 192.692, Area: 50112, Wire Length: 43792, bestCost: 3684.36
Temperature: 183.057, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 173.904, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 165.209, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 156.949, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 149.101, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 141.646, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 134.564, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 127.836, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 121.444, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 115.372, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 109.603, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 104.123, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 98.9169, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 93.971, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 89.2725, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 84.8089, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 80.5684, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 76.54, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 72.713, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 69.0774, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 65.6235, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 62.3423, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 59.2252, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 56.2639, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 53.4507, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 50.7782, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 48.2393, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 45.8273, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 43.536, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 41.3592, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 39.2912, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 37.3266, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 35.4603, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 33.6873, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 32.0029, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 30.4028, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 28.8826, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 27.4385, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 26.0666, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 24.7633, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 23.5251, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 22.3488, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 21.2314, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 20.1698, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 19.1613, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 18.2033, Area: 50112, Wire Length: 44476, bestCost: 3684.36
Temperature: 17.2931, Area: 50112, Wire Length: 44476, bestCost: 3684.36
